id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1702000,2020,274766971,10239035,264527936,137346689,7921955,57963261,61296031
1702109,2020,4761509443,560406249,4201103194,78094002,483989592,2410031091,1228988509
1702158,2020,78510387,2354517,76155869,20412718,3265223,11327258,4115067
1702208,2020,465900189,25347156,440553032,5386827,1732558,132749261,236609921
1702307,2020,357625373,5970187,351655186,39714529,225040566,41890817,45009274
1702406,2020,195651595,10802376,184849219,56694216,7952916,46215925,73986163
1702554,2020,291118988,21740173,269378815,17000917,18073639,112522801,121781459
1702703,2020,51567849,1696339,49871511,13687037,1656234,7545763,26982476
1702901,2020,12589002,5752198,120137822,15533933,379618,28621039,72186671
1703008,2020,127302889,364031,123662579,34177837,4005022,16315916,69163805
1703057,2020,126749663,2549614,124200049,36381376,40285283,16832055,30701334
1703073,2020,73479823,1828335,71651488,27310369,1802045,9566532,32972542
1703107,2020,107662117,7778934,99883183,23303863,5414413,29825994,41338913
1703206,2020,82444764,5528293,76916471,27537721,3402728,1457582,31400202
1703305,2020,126579558,2114409,124465149,71614261,3561369,13940598,35348921
1703602,2020,55317029,5886309,49430719,9795782,1093851,2068538,17855706
1703701,2020,223337372,570195,217635423,149979796,4446046,23271194,39938388
1703800,2020,117337358,4358197,112979161,11067386,5100461,20385362,76425952
1703826,2020,33766958,988715,32778243,6140995,905449,5155133,20576666
1703842,2020,474846919,1982658,455020339,263184508,11295208,105802308,74738315
1703867,2020,397029932,66617315,330412617,77585147,4901642,164554855,39256194
1703883,2020,45412251,1609614,43802637,9752204,139388,8252568,24403984
1703891,2020,45731098,960416,44770682,7317596,1634391,5678375,3014032
1703909,2020,448909151,10618693,438290458,325669707,9505058,62286851,40828841
1704105,2020,65516324,166642,63849904,32538693,1254994,7965483,22090734
1704600,2020,3308518,766543,32318637,15587644,1071329,3713144,1194652
1705102,2020,91572775,2577376,88995399,49132931,3064798,11374068,25423601
1705508,2020,79514441,85835291,709309119,37071998,5425248,373006708,244977933
1705557,2020,73184021,5998364,67185657,7418066,3633962,22821395,33312234
1705607,2020,61544667,3824725,57719942,9804694,1765778,15013616,31135853
1706001,2020,131884737,9588332,122296404,37557513,6194631,36650512,41893748
1706100,2020,184206315,6961859,177244456,88681236,7941175,31396589,49225456
1706258,2020,62570273,2003077,60567196,33507602,1407727,9048793,16603075
1706506,2020,217591149,1067032,206920829,116319236,4672098,42736983,43192512
1707009,2020,707049874,34709159,672340715,249992355,93444325,1792927,149611335
1707108,2020,17339529,8140461,165254829,79969522,6766144,33189312,45329851
1707207,2020,144017929,4465867,139552062,68215289,3899909,20518808,46918056
1707306,2020,165044701,6149935,158894766,93225956,5704469,23671878,36292464
